取引先コード,取引先名,取引先名かな,取引先略称名,インボイス発行事業者区分,インボイス登録番号,郵便番号,住所1,住所2,住所3,国名,取引通貨,国内・国外取引,タグ,フラグ,得意先有無,仕入先有無,請求先コード,請求先は宛名の置換のみ,得意先部署,得意先担当者役職,得意先担当者,得意先敬称,得意先電話番号,得意先FAX番号,得意先メールアドレス,得意先担当者コード,得意先担当社員名,得意先取引形態区分,得意先締日１,得意先締日２,得意先締日３,入金予定日１,入金予定日２,入金予定日３,得意先単価ランク,得意先掛率,得意先別単価の使用,得意先金額丸め区分,得意先内税外税区分,得意先消費税計上区分,得意先消費税丸め区分,与信限度額,前回請求額,前回売掛残,前回請求額（円転）,前回売掛残（円転）,売上伝票採番区分,請求書発行区分,請求書入金明細印字区分,見積書発行元ｺｰﾄﾞ,注文請書発行元ｺｰﾄﾞ,納品書発行元ｺｰﾄﾞ,請求書発行元ｺｰﾄﾞ,インボイス発行元ｺｰﾄﾞ,統一伝票用社名,統一伝票用店名,統一伝票用社店コード,統一伝票用分類コード,統一伝票用伝票区分,統一伝票用取引先ｺｰﾄﾞ,統一伝票用L欄,得意先メモ,支払先コード,支払先は宛名の置換のみ,仕入先部署,仕入先担当者役職,仕入先担当者,仕入先敬称,仕入先電話番号,仕入先FAX番号,仕入先メールアドレス,仕入先担当者コード,仕入先担当社員名,仕入先取引形態区分,仕入先締日１,仕入先締日２,仕入先締日３,支払予定日１,支払予定日２,支払予定日３,仕入先単価ランク,仕入先掛率,仕入先別単価の使用,仕入先金額丸め区分,仕入先内税外税区分,仕入先消費税計上区分,仕入先消費税丸め区分,前回支払予定額,前回買掛残,前回支払予定額（円転）,前回買掛残（円転）,仕入伝票採番区分,支払書発行区分,支払書支払明細印字区分,注文書発行元ｺｰﾄﾞ,支払書発行元ｺｰﾄﾞ,PO発行元ｺｰﾄﾞ,仕入先メモ,登録日時,最終更新日時,部門
00293,株式会社アエナ,あえな,,,,1540024,東京都世田谷区三軒茶屋２丁目２−１６,ＹＫビル 10F,,日本,JPY,国内,,,有,無,00293,Y,,,,,03-6666-2301,,,,,,毎月末日,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023/02/14 11:44:54,2023/02/28 18:40:07,輸出事業
00294,未来生活,みらいせいかつ,,,,,,,,,JPY,国内,,,有,無,00294,Y,,,,,,,,00011,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023/07/19 10:08:09,2023/07/19 10:08:09,輸出事業
00295,DODO VENTURES SDN BHD,どどべんちゃーずえすでぃーえぬびーえいちでぃー,,,,,,,,マレーシア,JPY,国内,,,有,有,00295,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00295,N,,,,,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/01/28 11:06:36,2025/01/28 11:33:20,輸出事業
00296,悠悠商事株式会社,ゆうゆうしょうじ,,,,7470822,山口県防府市勝間3-6-31,,,日本,JPY,国内,,,有,有,00296,Y,,,黄,様,080-9522-2165,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00296,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/01/28 10:52:18,2025/01/28 10:59:17,輸出事業
00297,株式会社ミハラ,みはら,,インボイス発行事業者,T5011701023003,1320035,東京都江戸川区平井3-16-6,春好マンション２F,,日本,JPY,国内,,,有,有,00297,Y,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00297,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/02/18 23:59:35,2025/02/19 00:04:24,輸出事業
00298,ACCEL株式会社(内税),ちえしょうじ,,,,5950804,大阪府泉北郡忠岡町馬瀬2-11-18,,,日本,JPY,国内,,,有,有,00298,Y,,,劉,様,08057616637,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00298,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/02/18 23:38:56,2025/02/18 23:38:56,輸出事業
00299,HONG KONG POMELO BIOLOGICAL MEDICINE LIMITED,HONG KONG POMELO BIOLOGICAL MEDICINE LIMITED,,,,,,,,香港,JPY,国外,,,有,有,00299,Y,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00299,Y,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/09/30 11:54:41,2024/09/30 11:54:41,輸出事業
00300,株式会社ユーラス,か）ゆーらす,,,,1000005,東京都千代田区丸の内2-5-2,三菱ビル13階,,日本,JPY,国内,,,有,無,00300,Y,韓国事業部,マネージャー,田中　喜英,様,03-6665-9444,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/10/03 18:08:23,2024/10/03 18:08:23,輸出事業
003002,株式会社BALI,BALI,,,,3320034,埼玉県川口市並木3-2-17,第8金子ビル6F,,日本,JPY,国内,,,有,有,003002,Y,,,,御中,048-287-3391,,,00015,佐久間　藍,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,10000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,003002,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/10/17 12:49:28,2024/10/17 12:49:28,輸出事業
00301,株式会社双宏,かぶしきかいしゃそうこう,,,,3320031,埼玉県川口市青木3-5-24-101,,,日本,JPY,国内,,,有,有,00301,N,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00301,N,,,,,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/10/16 15:27:45,2024/10/16 15:27:45,輸出事業
00302,株式会社千恵商事(内税),ちえしょうじ,,,,3400006,埼玉県草加市八幡町645-1,株式会社千恵商事草加倉庫,,日本,JPY,国内,,,有,有,00302,Y,,,オウ,様,08032088066,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00302,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/10/23 10:48:46,2024/11/01 14:17:56,輸出事業
00303,ZSA商事株式会社,ZSAしょうじ,,,,,,,,日本,JPY,国内,,,有,有,00303,Y,,,オウ,様,08032088066,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00303,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,内税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/01/22 09:30:31,2025/01/22 10:04:36,輸出事業
00304,株式会社和光産業,わこうさんぎょう,,,,,,,,日本,JPY,国内,,,有,有,00304,Y,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00304,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/02/03 11:24:34,2025/02/03 11:24:34,輸出事業
00306,株式会社コウホウボウ商事,こうほうぼうしょうじ,,,,,,,,日本,JPY,国内,,,有,有,00306,Y,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00306,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/02/26 17:02:57,2025/02/26 17:02:57,輸出事業
00310,株式会社山西商事,やまにししょうじ,,,,5590024,大阪府大阪市住之江区新北島5-3-1,,,日本,JPY,国内,,,有,有,00310,Y,,,,御中,06-6569-9707,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00310,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/12/06 11:53:26,2024/12/06 11:57:10,輸出事業
00311,株式会社千恵商事,ちえしょうじ,,,,3400006,埼玉県草加市八幡町645-1,株式会社千恵商事草加倉庫,,日本,JPY,国内,,,有,有,00311,Y,,,オウ,様,08032088066,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00311,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/01 14:18:22,2024/11/01 14:24:29,輸出事業
003116,株式会社立発商事,たつはつしょうじ,,,,1110021,東京都台東区日本堤1-19-6,,,日本,JPY,国内,,,有,有,003116,Y,,,,,080-9286-9562,,,00099,劉　華芸,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,003116,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/04/14 12:44:50,2025/04/14 12:44:50,輸出事業
003119,株式会社関東ダイコク,かんとうだいこく,,,,,大阪市中央区道頓堀2-2-1,,,日本,JPY,国内,,,有,有,003119,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,003119,Y,,,,御中,,,,00099,劉　華芸,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/15 10:33:23,2024/11/15 10:41:47,輸出事業
00312,株式会社三友貿易,さんゆうぼうえき,,,,2260019,神奈川県横浜市緑区中山2－11－14,,,日本,JPY,国内,,,有,有,00312,Y,,,リン,様,045ｰ947ｰ2257,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00312,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/01 21:36:30,2024/11/14 17:42:33,輸出事業
00315,株式会社ドラゴン商事,ドラゴンしょうじ,,,,3350031,埼玉県戸田市美女木4-6-1,,,日本,JPY,国内,,,有,有,00315,Y,,,オン,様,07014476999,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00315,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/12 12:06:56,2024/11/12 12:06:56,輸出事業
00318,大坂薬局,おおさかやっきょく,イーメディカｲｰﾒﾃﾞｨｶ,,,5500005,大阪府大阪市西区西本町1-2-4,ＥＰビル３Ｆ,,日本,JPY,国内,,,有,有,00318,Y,,,,様,06-6556-6006,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00318,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/25 14:35:54,2024/11/27 10:42:32,輸出事業
00319,西台株式会社,,,,,3320002,埼玉県川口市弥平2-1-22-102,,,日本,JPY,国内,,,有,有,00319,Y,,,,御中,0482ｰ12ｰ1989,,,00099,劉　華芸,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00319,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/06/11 16:38:11,2025/06/11 16:38:11,輸出事業
00320,王子国際貿易株式会社,おうじこくさいぼうえき,,,,3400032,埼玉県草加市遊馬町995-2,,,日本,JPY,国内,,,有,有,00320,Y,,,王,様,048-949-6759,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00320,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/29 15:46:11,2024/11/29 15:46:11,輸出事業
00432,AFURI株式会社,あふりかぶしきがいしゃ,,インボイス発行事業者,T3021002030451,2430032,神奈川県厚木市恩名2丁目1番23号,,,,JPY,国内,,,有,無,00432,Y,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/12/04 11:29:03,2024/12/04 11:30:13,輸出事業
00500,瑞和商事株式会社,みずわしょうじ,,,,5370013,大阪府大阪市東成区大今里南1-22-14　,今里ビル305,,,JPY,国内,,,有,無,00500,Y,,副社長,紫　君,様,06-4309-5515,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/11 12:33:52,2023/04/11 12:33:52,輸出事業
00501,アルフレッサヘルスケア株式会社,あるふれっさへるすけあ,,,,1030023,東京都中央区日本橋本町三丁目11番5号,,,日本,JPY,国内,,,有,有,00501,N,,,,,,,,,,,毎月末日,,,翌月末日,,,1,100,不使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00501,Y,,,,,,,,,,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2023/04/17 13:34:55,2024/06/18 13:54:08,輸出事業
00502,株式会社ビ・メーク,び・めえく,,,,,東京都渋谷区,宇田川町１７−２ 渋谷伸工ビル4階,,日本,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00502,N,,,,,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2023/06/14 15:26:22,2023/06/14 15:27:35,輸出事業
00503,株式会社ハビタ,はびた,,,,8620967,熊本県熊本市南区流通団地,１丁目44-2-2F,,,JPY,国内,,,有,無,00503,N,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023/06/14 15:29:18,2023/06/14 15:29:18,輸出事業
00504,アルフレッサ株式会社,あるふれっさ,,,,,,,,日本,JPY,国内,,,有,有,00504,N,,,,,,,,,,,毎月末日,,,翌月末日,,,1,100,不使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00504,Y,,,,,,,,,,掛仕入,毎月末日,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/05/20 17:18:30,2024/05/20 17:18:30,輸出事業
00505,株式会社MD,MD,,,,,,,,,001,国内,,,有,有,00505,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00505,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/05/30 16:56:12,2024/05/30 16:59:23,輸出事業
00506,株式会社ゴールデンブル,ごおるでんぶる,,,,,,,,,001,国内,,,有,有,00506,N,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00506,N,,,,,,,,,,都度支払,毎月末日,,,当月末日,,,1,100,使用,四捨五入,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/05/30 19:37:42,2024/06/24 18:53:54,輸出事業
00507,ぱぱす　浅草雷門店,ぱぱす　あさくさかみなりもんてん,,,,,,,,日本,JPY,国内,,,有,有,00507,N,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00507,N,,,,,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/06/13 18:47:21,2024/06/13 19:01:22,輸出事業
00508,株式会社伊藤園,いとうえん,,,,,,,,,001,国内,,,有,有,00508,N,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00508,N,,,,,,,,,,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,四捨五入,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/07/02 18:24:43,2024/07/02 18:24:43,輸出事業
00509,株式会社スタイルワン,すたいるわん,,,,1500011,東京都渋谷区東1-32-12,渋谷プロパティータワー10階,,日本,001,国内,,,有,有,00509,N,,,,,03-6418-6959,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00509,N,,,,,,,,,,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,四捨五入,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/07/29 13:05:04,2024/07/29 13:05:04,輸出事業
00510,株式会社晴れる屋,はれるや,,,,,,,,日本,JPY,国内,,,有,無,00510,Y,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/09/24 11:51:34,2024/09/24 11:51:34,輸出事業
00519,株式会社アソビバスターズ,あそびばすたあず,,,,,,,,日本,JPY,国内,,,有,有,00519,Y,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00519,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/10/31 23:25:57,2024/10/31 23:25:57,輸出事業
005190,株式会社彩雲,さいうん,,,,,,,,日本,001,国内,,,有,無,005190,Y,,,,,,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/30 16:53:11,2025/05/30 16:53:11,輸出事業
00520,EC Force,いーしーふぉーす,,,,,,,,,001,国内,,,有,無,00520,N,,,,,,,,,,都度請求,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/12/20 16:53:32,2025/02/07 12:20:21,輸出事業
00550,伊勢彩株式会社,いせさい,,,,1940045,東京都町田市南成瀬5-18-1,第一ブラッキービル106,,,001,国内,,,有,有,00550,N,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00550,N,,,,,,,,,,都度支払,毎月末日,,,当月末日,,,1,100,使用,四捨五入,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/10/28 17:42:56,2025/01/17 15:22:28,輸出事業
00551,ACCEL株式会社,アクセル,,,,5950804,大阪府泉北郡忠岡町馬瀬2-11-18,,,日本,001,国内,,,有,有,00551,N,,,劉,,080 5761 6637,,,,,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00551,N,,,,,,,,,,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,四捨五入,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/11/15 19:21:59,2024/11/15 19:21:59,輸出事業
00553,株式会社Rainmakers,Rainmakers,,,,,,,,,001,国内,,,有,無,00553,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/03/31 17:09:22,2025/03/31 17:09:22,輸出事業
00554,Linking Health International Limited,Linking Health International Limited,,,,,,,,,001,国外,,,有,有,00554,N,,,,,,,,,,都度請求,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00554,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/04/02 14:56:46,2025/04/02 15:05:40,輸出事業
0177,南山 株式会社,みなみやま,,,,,,,,,JPY,国内,,,有,無,0177,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,10000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/09/01 14:18:26,2016/09/01 14:18:26,輸出事業
0428,"QQBELLE CO., LTD.","QQBELLE CO., LTD.",,,,,"1F., No.102, Ln. 5, Ziqiang St., Beitou","Taipei City 11289, Taiwan",,台湾,JPY,国外,,,有,無,0428,Y,,,,,+886-2-2828-0105,+886-2-2828-0115,tzeng@ebloom-inc.com,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/09/15 10:13:35,2021/09/28 17:03:04,輸出事業
0430,株式会社AOBメディカル,AOBめでぃかる,,,,,,,,,001,国内,,,有,有,0430,N,,,,,,,,,,サンプル,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,0430,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/09/03 15:25:48,2024/10/01 13:55:10,輸出事業
0431,グレースメディカルクリニック,ぐれえすめでぃかるくりにっく,,,,8620916,熊本県熊本市東区佐土原,１丁目１６−３６,,,001,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0431,N,,,,,,,,,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/10/22 18:31:23,2024/10/22 18:31:23,輸出事業
0432,株式会社セレーネメディカル,せれえねめでぃかる,,インボイス発行事業者,T6140001023402,1040061,東京都中央区銀座７丁目４−１５,RBM銀座ビル ９F,,日本,001,国内,,,有,有,0432,N,,,,,,,,,,サンプル,毎月末日,,,翌月末日,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,0432,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2024/12/12 12:34:42,2025/03/26 13:58:13,輸出事業
0433,华茂株式会社,かもかぶしきかいしゃ,,,,,,,,,001,国内,,,有,無,0433,N,,,,,,,,,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/04/14 14:00:27,2025/04/14 14:00:27,輸出事業
